"PID","type","value","weight","val_num"
758002,"uspaper","peace",5,5
758002,"uspractice","healthy economy",40,6
758002,"uspractice","keeping peace in other countries",10,7
758002,"uspractice","""protecting"" our boarders",30,8
758002,"uspractice","political power",20,9
758002,"uspractice","illusion of equality",0,10
693330,"uspaper","freedom",30,1
693330,"uspaper","independence",30,2
693330,"uspaper","decentralization",33,3
693330,"uspaper","human rights",5,4
693330,"uspaper","not having every aspect of life controlled by psychotic politicians and bureaucrats",2,5
693330,"uspractice","corruption",30,6
693330,"uspractice","transferring wealth from the poor to the rich",30,7
693330,"uspractice","perpetual war",30,8
693330,"uspractice","exploiting the poor",5,9
693330,"uspractice","money laundering",5,10
380467,"uspaper","fairness",20,1
380467,"uspaper","justice",20,2
380467,"uspaper","equality",20,3
380467,"uspaper","democracy",20,4
380467,"uspaper","diversity",20,5
380467,"uspractice","opportunity",20,6
380467,"uspractice","freedom",20,7
380467,"uspractice","equality",20,8
380467,"uspractice","democracy",20,9
380467,"uspractice","diversity",20,10
316792,"uspaper","freedom",36,1
316792,"uspaper","everyone right to happiness",9,2
316792,"uspaper","safety",19,3
316792,"uspaper","everyone equal under the law",24,4
316792,"uspaper","economic freedom",12,5
316792,"uspractice","control of others",13,6
316792,"uspractice","oppression",25,7
316792,"uspractice","inequality of citizens",20,8
316792,"uspractice","racism",31,9
316792,"uspractice","sexism",11,10
206655,"uspaper","freedom to worship how and where you want",50,1
206655,"uspaper","freedom to voice your opinion",20,2
206655,"uspaper","freedom to carry arms",10,3
206655,"uspaper","freedom from a ruling elite class - no dictators or monarchs",10,4
206655,"uspaper","freedom for a fair trail - innocent until proven guilty",10,5
206655,"uspractice","freedom of religion",50,6
206655,"uspractice","freedom of opinion",20,7
206655,"uspractice","freedom of travel",15,8
206655,"uspractice","innocent until proven guilty",10,9
206655,"uspractice","freedom to own a weapon",5,10
608440,"uspaper","freedom",28,1
608440,"uspaper","independence",37,2
608440,"uspaper","bravery",9,3
608440,"uspaper","diversity",14,4
608440,"uspaper","strength",12,5
608440,"uspractice","equality",18,6
608440,"uspractice","freedom",24,7
608440,"uspractice","prosperity",20,8
608440,"uspractice","leadership",15,9
608440,"uspractice","independence",23,10
288500,"uspaper","democracy",25,1
288500,"uspaper","equality",25,2
288500,"uspaper","freedom",15,3
288500,"uspaper","liberation",20,4
288500,"uspaper","bravery",15,5
288500,"uspractice","justice",25,6
288500,"uspractice","equality",25,7
288500,"uspractice","democracy",20,8
288500,"uspractice","liberation",15,9
288500,"uspractice","sustainability",15,10
661857,"uspaper","freedom",36,1
661857,"uspaper","directness",26,2
661857,"uspaper","independence",13,3
661857,"uspaper","equality",15,4
661857,"uspaper","competition",10,5
661857,"uspractice","freedom",18,6
661857,"uspractice","independence",21,7
661857,"uspractice","slef-determination",22,8
661857,"uspractice","equality",20,9
661857,"uspractice","efficiency",19,10
976669,"uspaper","capitalism",51,1
976669,"uspaper","independent thinking",9,2
976669,"uspaper","superiority complex",26,3
976669,"uspaper","freedom",3,4
976669,"uspaper","divided political parties",11,5
976669,"uspractice","capitalism",56,6
976669,"uspractice","superiority",24,7
976669,"uspractice","freedom",13,8
976669,"uspractice","culture",7,9
976669,"uspractice","self",0,10
363963,"uspaper","freedom",20,1
363963,"uspaper","human rights",20,2
363963,"uspaper","freedom of religion",20,3
363963,"uspaper","free speech",20,4
363963,"uspaper","gun ownership",20,5
363963,"uspractice","freedom",24,6
363963,"uspractice","human rights",29,7
363963,"uspractice","equality",7,8
363963,"uspractice","capitalism",15,9
363963,"uspractice","freedom of speech",25,10
474847,"uspaper","freedom of speech and freedom of expression.",40,1
474847,"uspaper","hard, honest work will reward you with prosperity.",10,2
474847,"uspaper","every individual is created equally.",25,3
474847,"uspaper","people are the ones who determine the government.",15,4
474847,"uspaper","there will be fair and free elections.",10,5
474847,"uspractice","might makes right",35,6
474847,"uspractice","government is chosen by the few at the expense of the many",30,7
474847,"uspractice","hard work is good but may not pay off much",10,8
474847,"uspractice","media is controlled by the few",15,9
474847,"uspractice","education isn't a guarantee of success",10,10
194910,"uspaper","independence",25,1
194910,"uspaper","liberty",35,2
194910,"uspaper","equality",5,3
194910,"uspaper","freedom",20,4
194910,"uspaper","brotherhood",15,5
194910,"uspractice","acceptance",8,6
194910,"uspractice","tolerance",7,7
194910,"uspractice","freedom",20,8
194910,"uspractice","liberty",20,9
194910,"uspractice","opportunity",45,10
857716,"uspaper","freedom",22,1
857716,"uspaper","rights",26,2
857716,"uspaper","opportunity",16,3
857716,"uspaper","speech",13,4
857716,"uspaper","choice",23,5
857716,"uspractice","freedom",22,6
857716,"uspractice","opportunity",22,7
857716,"uspractice","choice",21,8
857716,"uspractice","capitalism",19,9
857716,"uspractice","happiness",16,10
468684,"uspaper","liberty",16,1
468684,"uspaper","justice",10,2
468684,"uspaper","equality",41,3
468684,"uspaper","democracy",8,4
468684,"uspaper","individual rights",25,5
468684,"uspractice","freedom",28,6
468684,"uspractice","equality",23,7
468684,"uspractice","democracy",9,8
468684,"uspractice","opportunity",9,9
468684,"uspractice","individualism",31,10
394766,"uspaper","life",29,1
394766,"uspaper","liberty",34,2
394766,"uspaper","economic frredom",15,3
394766,"uspaper","pursuit of happiness",15,4
394766,"uspaper","limited government",7,5
394766,"uspractice","equality",12,6
394766,"uspractice","freedom",73,7
394766,"uspractice","individualism",10,8
394766,"uspractice","hard work",4,9
394766,"uspractice","privacy",1,10
736024,"uspaper","liberty",5,1
736024,"uspaper","freedom",35,2
736024,"uspaper","justice",10,3
736024,"uspaper","opportunity",45,4
736024,"uspaper","growth",5,5
736024,"uspractice","live for commerce",20,6
736024,"uspractice","taxation is key",20,7
736024,"uspractice","too much debt",20,8
736024,"uspractice","honor the rich",20,9
736024,"uspractice","lie to poor",20,10
900586,"uspaper","liberty",25,1
900586,"uspaper","equality",20,2
900586,"uspaper","republic",15,3
900586,"uspaper","justice",20,4
900586,"uspaper","democracy",20,5
900586,"uspractice","self-reliance",15,6
900586,"uspractice","innovation",20,7
900586,"uspractice","globa influence",10,8
900586,"uspractice","opportunity",25,9
900586,"uspractice","security",30,10
942891,"uspaper","freedom",38,1
942891,"uspaper","expression",16,2
942891,"uspaper","liberty",25,3
942891,"uspaper","justice",14,4
942891,"uspaper","trustworthy",7,5
942891,"uspractice","righteousness",25,6
942891,"uspractice","happiness",19,7
942891,"uspractice","cordial",13,8
942891,"uspractice","honest",6,9
942891,"uspractice","smart",37,10
583682,"uspaper","freedom",29,1
583682,"uspaper","equality",33,2
583682,"uspaper","pursuit of happiness",28,3
583682,"uspaper","exploration",3,4
583682,"uspaper","optimism",7,5
583682,"uspractice","protecting the wealthy",21,6
583682,"uspractice","exploiting the poor",20,7
583682,"uspractice","military might",24,8
583682,"uspractice","protecting politicians",17,9
583682,"uspractice","greed",18,10
889471,"uspaper","freedom",29,1
889471,"uspaper","justice",26,2
889471,"uspaper","equality",8,3
889471,"uspaper","opportunity",26,4
889471,"uspaper","privilage",11,5
889471,"uspractice","power",21,6
889471,"uspractice","freedom",23,7
889471,"uspractice","equality",13,8
889471,"uspractice","wealth",26,9
889471,"uspractice","opportunity",17,10
483006,"uspaper","dominance over other countries",20,1
483006,"uspaper","control over citizens",50,2
483006,"uspaper","printing excess currencies",7,3
483006,"uspaper","the stock market",18,4
483006,"uspaper","keeping the rich as rich as possible",5,5
483006,"uspractice","dominance over other countries",8,6
483006,"uspractice","control of citizens",51,7
483006,"uspractice","printing excess currency",5,8
483006,"uspractice","keeping the poor people poor",26,9
483006,"uspractice","keeping the rich more rich",10,10
738954,"uspaper","freedom",22,1
738954,"uspaper","democracy",20,2
738954,"uspaper","family",19,3
738954,"uspaper","unity",17,4
738954,"uspaper","happiness",22,5
738954,"uspractice","freedom of speech",21,6
738954,"uspractice","democracy for all people",18,7
738954,"uspractice","watching sports for fun",11,8
738954,"uspractice","the american dream",32,9
738954,"uspractice","working for a great company",18,10
505339,"uspaper","integrity",20,1
505339,"uspaper","truth",10,2
505339,"uspaper","fair",10,3
505339,"uspaper","honest",40,4
505339,"uspaper","loyal",20,5
505339,"uspractice","loyal",20,6
505339,"uspractice","fundamental",10,7
505339,"uspractice","true",20,8
505339,"uspractice","honest",40,9
505339,"uspractice","love",10,10
186136,"uspaper","freedom",30,1
186136,"uspaper","democracy",30,2
186136,"uspaper","diversity",10,3
186136,"uspaper","individualism",10,4
186136,"uspaper","security",20,5
186136,"uspractice","freedom",30,6
186136,"uspractice","democracry",30,7
186136,"uspractice","indivudualism",10,8
186136,"uspractice","diversity",10,9
186136,"uspractice","security",20,10
918234,"uspaper","freedom right to arms",41,1
918234,"uspaper","melting pot",26,2
918234,"uspaper","cultural differences",13,3
918234,"uspaper","american dream",17,4
918234,"uspaper","high market value",3,5
918234,"uspractice","the people",12,6
918234,"uspractice","freedom of speech",21,7
918234,"uspractice","right to arms",4,8
918234,"uspractice","open to many",12,9
918234,"uspractice","strong army",51,10
820329,"uspaper","equality",32,1
820329,"uspaper","ethical",18,2
820329,"uspaper","progress",8,3
820329,"uspaper","work",18,4
820329,"uspaper","freedom",24,5
820329,"uspractice","governance",22,6
820329,"uspractice","greed",19,7
820329,"uspractice","unequal",30,8
820329,"uspractice","materialism",10,9
820329,"uspractice","win",19,10
828271,"uspaper","democracy",18,1
828271,"uspaper","equality",19,2
828271,"uspaper","fairness",17,3
828271,"uspaper","antiracism",17,4
828271,"uspaper","dream",29,5
828271,"uspractice","merit",15,6
828271,"uspractice","democracy",13,7
828271,"uspractice","equality",21,8
828271,"uspractice","antiracism",25,9
828271,"uspractice","fairness",26,10
151691,"uspaper","pursuit of happiness",10,1
151691,"uspaper","libery",24,2
151691,"uspaper","separation of powers",27,3
151691,"uspaper","integrity",16,4
151691,"uspaper","limited government",23,5
151691,"uspractice","liberty",30,6
151691,"uspractice","equality",20,7
151691,"uspractice","diversity",10,8
151691,"uspractice","nationalism",10,9
151691,"uspractice","democracy",30,10
564114,"uspaper","freedom",51,1
564114,"uspaper","democracy",21,2
564114,"uspaper","justice",12,3
564114,"uspaper","equality",4,4
564114,"uspaper","opportunity",12,5
564114,"uspractice","democracy",18,6
564114,"uspractice","opportunity",24,7
564114,"uspractice","equality",12,8
564114,"uspractice","fairness",16,9
564114,"uspractice","justice",30,10
577250,"uspaper","liberty",20,1
577250,"uspaper","freedom",30,2
577250,"uspaper","representation in government",15,3
577250,"uspaper","pursuit of happiness",10,4
577250,"uspaper","equality",25,5
577250,"uspractice","capitalism",40,6
577250,"uspractice","social mobility",10,7
577250,"uspractice","inequality",20,8
577250,"uspractice","imperialism",15,9
577250,"uspractice","conservativism",15,10
707144,"uspaper","good governance",29,1
707144,"uspaper","all sorts rubbish like lesbian",18,2
707144,"uspaper","protect citizens",24,3
707144,"uspaper","causing war",24,4
707144,"uspaper","not putting the world in order",5,5
707144,"uspractice","cheating",24,6
707144,"uspractice","causing war",18,7
707144,"uspractice","exploitation",11,8
707144,"uspractice","good government",16,9
707144,"uspractice","world power",31,10
625151,"uspaper","equality",20,1
625151,"uspaper","progress",20,2
625151,"uspaper","unity",20,3
625151,"uspaper","diversity",20,4
625151,"uspaper","liberty",20,5
625151,"uspractice","freedom",20,6
625151,"uspractice","liberty",20,7
625151,"uspractice","justice",20,8
625151,"uspractice","opportunity",20,9
625151,"uspractice","fairness",20,10
311231,"uspaper","freedom",18,1
311231,"uspaper","justice",18,2
311231,"uspaper","culture",9,3
311231,"uspaper","innovation",38,4
311231,"uspaper","individual rights",17,5
311231,"uspractice","injustice",18,6
311231,"uspractice","favor",18,7
311231,"uspractice","unfair practices",19,8
311231,"uspractice","inequality",19,9
311231,"uspractice","discrimination",26,10
256300,"uspaper","freedom",30,1
256300,"uspaper","independence",20,2
256300,"uspaper","democracy",30,3
256300,"uspaper","power of people",15,4
256300,"uspaper","foundation",5,5
256300,"uspractice","freedom",30,6
256300,"uspractice","opportunities",30,7
256300,"uspractice","immigration",20,8
256300,"uspractice","technological advancement",10,9
256300,"uspractice","quality education",10,10
388398,"uspaper","equality",8,1
388398,"uspaper","fairness",19,2
388398,"uspaper","christian values",39,3
388398,"uspaper","democracy",13,4
388398,"uspaper","freedom",21,5
388398,"uspractice","freedom",27,6
388398,"uspractice","equality",17,7
388398,"uspractice","welcoming",10,8
388398,"uspractice","christian values",35,9
388398,"uspractice","future",11,10
665492,"uspaper","freedom",30,1
665492,"uspaper","democracy",30,2
665492,"uspaper","protection of citizens",10,3
665492,"uspaper","equality",10,4
665492,"uspaper","liberty",20,5
665492,"uspractice","freedom",40,6
665492,"uspractice","liberty",10,7
665492,"uspractice","democracy",30,8
665492,"uspractice","integrity",5,9
665492,"uspractice","justice",15,10
130227,"uspaper","freedom",20,1
130227,"uspaper","equality of all people",20,2
130227,"uspaper","speedy and fair trial",20,3
130227,"uspaper","safety and security",20,4
130227,"uspaper","right to free speech",20,5
130227,"uspractice","equality for all people",20,6
130227,"uspractice","freedom",20,7
130227,"uspractice","fair and equitable justice",20,8
130227,"uspractice","security and safety",20,9
130227,"uspractice","honesty and integrity",20,10
260118,"uspaper","democracy",5,1
260118,"uspaper","freedom",5,2
260118,"uspaper","capitlism",40,3
260118,"uspaper","diversity",10,4
260118,"uspaper","guns",40,5
260118,"uspractice","truth",5,6
260118,"uspractice","justice",5,7
260118,"uspractice","liberty",5,8
260118,"uspractice","ambition",15,9
260118,"uspractice","free speech",70,10
901255,"uspaper","justice",8,1
901255,"uspaper","liberty",19,2
901255,"uspaper","peace",17,3
901255,"uspaper","freedom",45,4
901255,"uspaper","equality",11,5
901255,"uspractice","justice",18,6
901255,"uspractice","equality",12,7
901255,"uspractice","leadership",34,8
901255,"uspractice","technology",6,9
901255,"uspractice","superpower",30,10
216621,"uspaper","value of self determination",31,1
216621,"uspaper","value of human life",16,2
216621,"uspaper","the value of liberty",9,3
216621,"uspaper","the value of democracy",14,4
216621,"uspaper","value of freedom",30,5
216621,"uspractice","the right to individualism",10,6
216621,"uspractice","the right to unify",11,7
216621,"uspractice","the right for economic liberty",11,8
216621,"uspractice","the right for equality",40,9
216621,"uspractice","the right to self govern",28,10
400921,"uspaper","freedom",29,1
400921,"uspaper","hope",17,2
400921,"uspaper","equality",12,3
400921,"uspaper","inclusion",19,4
400921,"uspaper","prosperity",23,5
400921,"uspractice","greed",13,6
400921,"uspractice","corruption",29,7
400921,"uspractice","oppression",37,8
400921,"uspractice","racism",5,9
400921,"uspractice","fascism",16,10
644874,"uspaper","united",20,1
644874,"uspaper","sovereign",20,2
644874,"uspaper","democratic",20,3
644874,"uspaper","freedom",20,4
644874,"uspaper","leader",20,5
644874,"uspractice","freedom",18,6
644874,"uspractice","sovereignty",18,7
644874,"uspractice","democracy",20,8
644874,"uspractice","choice",20,9
644874,"uspractice","fairness",24,10
510513,"uspaper","life",18,1
510513,"uspaper","liberty",19,2
510513,"uspaper","pursuit of happiness",21,3
510513,"uspaper","freedom",20,4
510513,"uspaper","self-determination",22,5
510513,"uspractice","freedom",23,6
510513,"uspractice","liberty",15,7
510513,"uspractice","defending others",13,8
510513,"uspractice","pursuit of happiness",19,9
510513,"uspractice","capitalism",30,10
800926,"uspaper","freedom",45,1
800926,"uspaper","respect",5,2
800926,"uspaper","opportunity",25,3
800926,"uspaper","accountability",5,4
800926,"uspaper","honor",20,5
800926,"uspractice","freedom",39,6
800926,"uspractice","opportunity",23,7
800926,"uspractice","citizen safety",23,8
800926,"uspractice","individuality",10,9
800926,"uspractice","autonomy",5,10
705800,"uspaper","freedom",23,1
705800,"uspaper","independence",12,2
705800,"uspaper","equality",11,3
705800,"uspaper","democracy",22,4
705800,"uspaper","representation of citizens",32,5
705800,"uspractice","money",29,6
705800,"uspractice","control",8,7
705800,"uspractice","power",24,8
705800,"uspractice","capitalism",24,9
705800,"uspractice","imperialism",15,10
198773,"uspaper","democracy",20,1
198773,"uspaper","freedom",20,2
198773,"uspaper","equality",20,3
198773,"uspaper","justice",20,4
198773,"uspaper","liberty",20,5
198773,"uspractice","freedom",20,6
198773,"uspractice","equality",20,7
198773,"uspractice","democracy",20,8
198773,"uspractice","liberty",20,9
198773,"uspractice","opportunity",20,10
750977,"uspaper","life",20,1
750977,"uspaper","liberty",20,2
750977,"uspaper","happiness",20,3
750977,"uspaper","freedom",20,4
750977,"uspaper","equality",20,5
750977,"uspractice","liberty",20,6
750977,"uspractice","freedom",15,7
750977,"uspractice","prosperity",25,8
750977,"uspractice","power",26,9
750977,"uspractice","influence",14,10
540012,"uspaper","equality under law",20,1
540012,"uspaper","individual freedom",20,2
540012,"uspaper","charity",20,3
540012,"uspaper","independence",20,4
540012,"uspaper","self-determination",20,5
540012,"uspractice","global dominance",20,6
540012,"uspractice","economic superiority",20,7
540012,"uspractice","favoritism for rich",20,8
540012,"uspractice","favoritism for corporations",20,9
540012,"uspractice","repression of poor",20,10
698966,"uspaper","hardwork",15,1
698966,"uspaper","honesty",13,2
698966,"uspaper","diversity",14,3
698966,"uspaper","democracy",25,4
698966,"uspaper","freedom",33,5
698966,"uspractice","technological innovation",14,6
698966,"uspractice","capitalism",10,7
698966,"uspractice","economic growth",27,8
698966,"uspractice","military strength",35,9
698966,"uspractice","national security",14,10
527461,"uspaper","freedom",40,1
527461,"uspaper","liberty",10,2
527461,"uspaper","justice",10,3
527461,"uspaper","happiness",10,4
527461,"uspaper","independence",30,5
527461,"uspractice","freedom",10,6
527461,"uspractice","independence",10,7
527461,"uspractice","religion",30,8
527461,"uspractice","wealth",25,9
527461,"uspractice","power",25,10
682664,"uspaper","equality of opportunity",25,1
682664,"uspaper","privacy",10,2
682664,"uspaper","individualism",30,3
682664,"uspaper","loyalty",15,4
682664,"uspaper","equality",20,5
682664,"uspractice","democracy",30,6
682664,"uspractice","unity",15,7
682664,"uspractice","equality",15,8
682664,"uspractice","liberty",25,9
682664,"uspractice","law due process",15,10
869468,"uspaper","freedom",25,1
869468,"uspaper","liberty",25,2
869468,"uspaper","strength",10,3
869468,"uspaper","money",20,4
869468,"uspaper","democracy",20,5
869468,"uspractice","money",20,6
869468,"uspractice","self",20,7
869468,"uspractice","greed",20,8
869468,"uspractice","freedom",20,9
869468,"uspractice","liberty",20,10
875889,"uspaper","indepenence",20,1
875889,"uspaper","freedom",20,2
875889,"uspaper","equality",20,3
875889,"uspaper","liberty",20,4
875889,"uspaper","justice",20,5
875889,"uspractice","justice",20,6
875889,"uspractice","independence",20,7
875889,"uspractice","freedom",20,8
875889,"uspractice","american dream",20,9
875889,"uspractice","hard work",20,10
557320,"uspaper","justice",24,1
557320,"uspaper","democracy",27,2
557320,"uspaper","equality",4,3
557320,"uspaper","liberty",15,4
