CaseId,WEIGHT,RND_00,RND_01,Q1A,Q1B,Q1C,Q1D,Q1E,Q2,Q2_TEXT,CONDITION1,CONDITION2,CONDITION3,ORDERA,ORDERB,ORDERC,ORDERD,ORDERE,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q7,NOV5,NOV7,NOV7_OE,PartyID7,PartyID5,IDEO,RELIG,RELIG_OE,ATTEND,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,INCOME4,INCOME9,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
115,0.39556426,1,0,Freedom,Liberty,Justice,Checks & Balances,Federalism (National & State division of government power),2,Liberty,,The woke movement and far left made me feel like I had to be silent on my views about what was best for my family and community based on my faith and beliefs.,,4,1,3,5,2,2,2,5,3,5,4,5,3,4,2,,7,5,3,2,,8,11/18/2024 19:11,11/18/2024 19:20,11,2,1,Smartphone,2,52,3,4,6,5,5,1,5,1,3,DE,3,5,1,1,2,3,3,1,#NULL!,#NULL!,#NULL!,#NULL!,1
120,2.36182359,2,1,Right to free speech,Right to protect your family and yourself,Fair elections,Right to carry gun,Right to protect your property,3,Fair elections,,,"Any election where people, states or counties do not cheat during the election. For example, counting dead people, filling out ballots and hiding them until after hours to be counted, telling old people how to vote. Just a few examples of cheating.",3,4,5,2,1,4,6,6,3,5,2,6,5,4,2,,6,5,4,12,,1,11/21/2024 6:01,11/21/2024 6:21,20,2,1,Smartphone,2,68,4,6,1,2,1,1,6,1,3,CO,4,8,1,1,1,1,1,2,0,0,0,0,2
122,0.94437595,2,0,Freedom of speech,"Individualism, independence, and privacy",Equality,Self help,Practicality and efficiency,2,"Individualism, independence, and privacy",,,Self reliance and personal achievement. The ability to make one's own decisions. The right to keep personal information and personal boundaries.,2,5,3,4,1,4,4,4,4,5,4,4,4,1,#NULL!,,4,3,3,2,,1,11/20/2024 16:13,11/20/2024 16:20,8,2,1,Smartphone,2,42,2,3,1,3,1,1,9,2,5,NY,1,2,0,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
124,2.32621743,1,1,Freedom of choice,Freedom of speech,Freedom of religion,Pursuit of Happiness,Liberty for all,1,Freedom of choice,,"We vilify those with different values. Instead of respecting other opinions, too many Americans opt for conflict.",,5,2,3,1,4,3,2,3,5,4,3,2,5,4,1,,1,1,3,12,,3,11/29/2024 15:15,11/29/2024 15:20,5,2,1,Desktop,1,55,3,5,6,4,1,1,16,4,9,HI,4,9,1,1,1,3,4,2,0,0,0,0,2
125,1.04936770,0,0,Freedom,Equality,Independence,Individualism,Progress,1,Freedom,"Freedom of speech, the right to privacy. The right to vote and take part in choosing a government is a civil and political right.",,,4,1,5,3,2,5,6,6,2,3,2,4,6,1,#NULL!,,5,4,4,12,,2,11/20/2024 8:00,11/20/2024 8:08,8,2,1,Smartphone,2,31,2,2,1,2,5,1,11,3,6,PA,1,2,1,1,1,4,4,6,#NULL!,1,3,#NULL!,3
130,0.72345881,0,0,Live,Liberty,Freedom,Options,98,3,Freedom,"We have the right to vote, freedom of speech, freedom to work, freedom own firearms, freedom to own land.",,,3,1,4,2,5,5,4,5,3,5,2,5,6,4,2,,7,5,5,1,,2,11/21/2024 14:14,11/21/2024 14:21,8,2,1,Smartphone,1,38,2,3,1,3,1,1,3,1,2,MO,2,4,0,0,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,1
131,2.12000472,1,0,INTEGRITY,FAIRNESS,EQUALITY,RIGHTS,HONESTY,4,RIGHTS,,"US FALLS SHORT WITH FAIRNESS OF DIFFERENT RACES IN AREAS OF EMPLOYMENT, EDUCATION, HOUSING, SALARIES.",,5,4,1,2,3,5,5,5,3,4,3,3,5,4,1,,1,1,2,1,,7,11/19/2024 18:33,11/19/2024 18:43,10,2,1,Desktop,2,76,4,7,1,3,1,5,10,2,6,OK,3,7,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
142,0.31768261,1,0,Liberty,Freedom of speech,Freedom of religion,Pursuit of happiness,From government persecution,1,Liberty,,The ability to control your own destiny and living s Richer and fullerlife while being protected from underneath searches and seizures,,5,1,3,4,2,2,5,5,1,5,3,7,2,4,1,,1,1,2,1,,2,11/18/2024 17:43,11/18/2024 17:53,10,2,1,Smartphone,1,77,4,7,1,3,3,5,9,2,5,WI,2,3,1,1,1,3,4,1,0,0,0,0,1
148,0.70408423,2,0,democracy,diversity,progress,liberty,freedom,1,democracy,,,"the governing  of the country at the will of the people, by the people and for the people of this great country.",4,1,3,2,5,5,5,98,2,4,3,3,6,4,2,,2,1,4,1,,7,11/18/2024 21:02,11/18/2024 21:11,9,2,1,Desktop,2,67,4,6,1,3,1,6,10,2,6,WV,3,5,1,1,1,1,3,2,#NULL!,#NULL!,#NULL!,#NULL!,2
151,0.46835703,1,0,Inclusion,Propserity,Opporitunity,Freedom,Fairness,3,Opporitunity,,The United States prosecutes people attempting to have a better life. People are taken advantage of by large corporations. An elite few hoard wealth.,,1,5,2,4,3,6,5,5,2,3,3,5,6,4,1,,5,4,3,1,,8,11/20/2024 13:25,11/20/2024 13:30,6,2,1,Desktop,1,33,2,2,1,3,3,1,11,3,6,MI,2,3,0,1,1,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
153,1.24794694,2,0,Freedom,Equity,Creative,Slow,War,1,Freedom,,,It means to be able to do what you want to do as long as it doesn’t restrict on other’s people freedom or impacts anyone else in a negative manner,1,2,5,3,4,7,5,3,4,3,3,2,6,4,1,,1,1,1,2,,6,11/18/2024 19:45,11/18/2024 19:47,3,2,1,Smartphone,1,33,2,2,1,5,1,1,11,3,6,IA,2,4,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
154,0.85540702,2,1,Equality,Liberty,Fraternity,Honesty,Opportunity,2,Liberty,,,"Freedom to live as you choose regarding religion, health, opportunity, education. Freedom as a woman to vote, own a home, able to choose professions, health care.",4,2,5,1,3,7,2,3,4,5,3,2,2,4,1,,1,1,2,1,,2,11/18/2024 18:08,11/18/2024 18:17,9,2,1,Desktop,2,70,4,6,1,3,3,5,9,2,5,AZ,4,8,1,1,1,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
165,0.58236215,1,1,Liberty,Integrity,Justice,Opportunity,Freedom of speech,1,Liberty,,"Too much regulation of business and personal lives is stifling people's liberty, while lack of other regulations is ensuring some people never get the chance to enjoy America's liberty.",,1,3,5,2,4,3,5,5,3,4,3,5,5,4,2,,7,5,5,1,,9,11/20/2024 8:01,11/20/2024 8:07,7,2,1,Smartphone,2,44,2,3,1,5,1,7,7,2,4,MO,2,4,1,1,1,1,4,6,#NULL!,#NULL!,3,1,2
167,2.12722879,2,0,freedom,equity,diversity,human right,justice,1,freedom,,,I would say that the best definition of freedom is to do anything as long as the law does NOT prohibit it.,4,2,1,5,3,7,7,7,1,1,2,1,7,4,2,,5,4,3,14,taoism,3,11/19/2024 20:13,11/19/2024 20:21,8,2,1,Desktop,1,45,3,4,6,4,1,1,18,4,9,CA,4,9,1,1,1,3,4,4,#NULL!,#NULL!,1,1,2
169,0.94348740,1,0,individual freedom (Bill of Rightsl,strength against enemies,acceptance of individual differences,strong families & communities,democracy,1,individual freedom (Bill of Rightsl,,Attempts by many Christians to impose their beliefs and values on others. Attempts to stifle the press. Intimidation of some in authority against the powerless.,,3,5,1,4,2,6,3,2,5,3,4,3,5,4,1,,1,1,3,13,,4,11/18/2024 20:37,11/18/2024 20:57,24,2,1,Smartphone,2,78,4,7,1,5,2,5,13,3,7,IL,2,3,1,1,1,1,4,3,0,0,0,0,3
174,0.31269308,0,1,rule of law,liberty,separation of powers,political equality,fair elections,3,separation of powers,In today's world it will be difficult to live up its promise of separation of power.  We are living in a world turned upside down.,,,1,2,5,4,3,7,7,7,5,3,2,4,7,4,1,,1,1,3,11,,2,11/21/2024 19:13,11/21/2024 19:28,16,2,1,Desktop,2,78,4,7,1,3,4,5,8,2,4,NY,1,2,1,1,1,3,4,1,0,0,0,0,1
175,0.37377975,2,0,Freediom,future,equality,peace and safety,prosperity,1,Freediom,,,The right to succeed and live without fear of being mistreated and possibility that you can have a good life for you and your family,5,3,1,2,4,6,5,98,3,3,4,3,98,4,1,,2,1,3,10,,1,11/18/2024 19:34,11/18/2024 19:41,7,2,1,Desktop,2,75,4,7,1,3,1,5,6,1,3,CA,4,9,0,1,1,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,2
180,1.16445524,1,0,freedom from tyranny,freedom of religion,freedom of speech,equality under the law,right of personal privacy,1,freedom from tyranny,,The will of the people has been jeopardised by corrupt manipulation of our system allowing a minority to impose its will on the majority. The US is in danger of losing rights of the people enshrined in the Constitution by not acting to strengthen norms and values un,,2,1,5,4,3,6,3,2,5,3,3,5,5,3,#NULL!,,1,1,3,11,,1,11/19/2024 10:23,11/24/2024 12:30,36,2,1,Smartphone,2,67,4,6,1,5,2,6,4,1,2,LA,3,7,1,1,1,1,3,4,#NULL!,#NULL!,#NULL!,#NULL!,4
186,0.38297461,0,0,Family,Religion,Security,Loyalty,Family,1,Family,The U S. Seems to be in the business of breaking up family. All of the children that they took from there parents and deported the parents. What did they do with the children?,,,5,4,3,1,2,7,7,7,4,4,2,4,7,4,1,,3,2,3,12,,6,11/21/2024 17:55,11/26/2024 22:49,11,2,1,Smartphone,2,43,2,3,2,4,1,7,13,3,7,FL,3,5,1,1,1,1,4,4,#NULL!,#NULL!,2,#NULL!,2
191,0.81220230,0,1,Independence,Respect,Individual beliefs,Peace,Justice,5,Justice,Military forces. Law enforcement. Court system. Consequences for those that neglect the laws put in place; state and federal.,,,4,2,5,3,1,3,4,4,4,3,4,4,4,4,2,,6,5,4,1,,4,11/19/2024 7:59,11/19/2024 8:10,11,2,1,Smartphone,2,35,2,3,1,3,3,1,11,3,6,WI,2,3,1,1,1,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
192,0.38539672,1,1,Freedom of speech,Freedom of religonr,Right to assemble,Freedom of press,Freedom of petition,1,Freedom of speech,,People are being thrown out of town and school meetings for expressing their complaints.  And the fbi is calling them threats.,,3,1,4,2,5,5,5,5,3,4,3,3,5,4,2,,6,5,4,2,,2,11/18/2024 18:08,11/18/2024 18:23,15,2,1,Desktop,1,74,4,6,1,3,2,5,13,3,7,IN,2,3,1,1,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,1
194,0.76752690,1,0,individualism,free speech,free will,self government,importance of nuclear family,1,individualism,,people have the ability and freedom to express how they look where they live and who they associate with,,2,1,5,3,4,6,3,5,4,4,2,4,5,4,1,,1,1,2,12,,9,11/20/2024 18:16,11/20/2024 18:20,5,2,1,Smartphone,2,20,1,1,1,3,5,1,13,3,7,TN,3,6,1,1,1,1,4,3,#NULL!,#NULL!,#NULL!,#NULL!,3
200,0.11128410,1,1,Freedom,Equality,Opportunity,Justice,Diversity,1,Freedom,,Systematic inequalities and restrictions on individual rights. Politicians trying to censor certain things.,,4,5,1,2,3,1,2,2,5,5,5,6,1,4,2,,7,5,4,2,,3,11/19/2024 15:46,11/19/2024 15:53,7,2,1,Desktop,1,44,2,3,1,3,1,1,17,4,9,IL,2,3,1,1,1,1,3,4,#NULL!,#NULL!,2,#NULL!,2
206,0.77396079,0,1,Strong National Defence,Freedom of choice,Right to be safe in your own community,Opportunity to succeed or fail,Access to health care,4,Opportunity to succeed or fail,US is one of the few countries left where it's people still have an opportunity succeed or fail. We are still the most desired country to immigrate to.,,,5,3,4,2,1,2,5,6,5,4,4,4,2,4,2,,5,4,5,12,,2,11/18/2024 20:55,11/18/2024 21:18,26,2,1,Smartphone,1,59,3,5,1,4,1,1,12,3,7,MN,2,4,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
215,0.51599450,0,0,Freedom,Equality,Diversity,Individualism,Privacy,1,Freedom,To a legal limit American people are free in their choices/actions in their daily lives. There is freedom of speech.,,,5,2,4,3,1,5,5,5,5,4,4,4,4,4,2,,4,3,3,12,,3,11/18/2024 23:40,11/18/2024 23:45,5,2,1,Smartphone,2,27,1,2,1,3,5,1,5,1,3,CA,4,9,1,1,2,1,4,5,#NULL!,1,1,#NULL!,2
216,1.30143482,0,1,freedom,democracy,equility,justice,goverance,2,democracy,It seems to me the people have less of a say. It seems that it's the career politicians that are making most of the decisions with little regard to what the people say/want.,,,3,5,4,2,1,4,6,6,3,2,3,3,5,3,#NULL!,,4,3,3,1,,3,11/19/2024 13:01,11/19/2024 13:06,5,2,1,Desktop,1,56,3,5,1,3,3,1,13,3,7,MN,2,4,0,1,2,2,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
224,1.15724226,2,0,Right to own firearms,Freedom of speech,Right to the pursuit of happiness,Innocent until proven guilty,In god we trust,2,Freedom of speech,,,The ability to speak your mind in a peaceful manner. The ability to be heard by state and board members.,1,5,4,3,2,5,5,5,3,3,2,3,5,2,#NULL!,,6,5,2,11,,1,11/26/2024 21:45,11/26/2024 21:51,7,2,1,Smartphone,2,35,2,3,1,2,1,4,7,2,4,OH,2,3,0,1,1,4,4,4,#NULL!,#NULL!,1,1,2
225,0.46274567,1,0,Freedom of religion,No British taxes,Freedom bear arms,Freedom of speech,Freedom of rights,5,Freedom of rights,,"The freedom to be whoever you want to be, regardless of what you believe in. For example, the fact that now gay people can get married means that we all have equal rights. The way the US is not living up to its promise is by saying someone is guilty before even being proven innocent. That happens with the law when people go to jail when they were wrongly accused. And now with AI, they are making people say things that they never said.",,2,3,4,5,1,1,4,2,6,5,6,6,2,4,2,,6,5,3,2,,3,11/21/2024 13:23,11/21/2024 13:33,10,2,1,Desktop,2,61,4,5,1,4,1,3,13,3,7,CA,4,9,1,1,2,3,3,2,#NULL!,#NULL!,#NULL!,#NULL!,2
230,0.22642922,1,1,Jobs,Living cost,Medical,Social security,Immigration,2,Living cost,,Not providing  needs for Americans by providing benefits like a living wage most American we are not keeping up with inflation everything going up while we still suffering to provide food and pay rent folks not taking vacation these days because of the lack of income we are getting as American.,,1,4,2,5,3,7,7,7,1,1,2,1,7,4,3,Jill Stein,4,3,3,1,,1,12/1/2024 17:57,12/1/2024 18:09,12,2,1,Smartphone,1,64,4,5,2,2,5,1,5,1,3,CA,4,9,1,0,2,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
231,3.66501119,2,0,Religious freedom,Right to bear arms,Freedom of speech,Search and seizure without probable cause,Due process,2,Right to bear arms,,,Being necessary to the security of a free state The right of the people to keep and bear arms shall not be infringed,5,3,4,1,2,5,5,5,5,5,5,4,3,2,#NULL!,,6,5,3,12,,7,12/1/2024 13:05,12/1/2024 13:13,8,2,1,Smartphone,2,41,2,3,1,2,1,1,14,4,8,UT,4,8,1,1,1,1,4,3,#NULL!,#NULL!,1,#NULL!,2
234,0.35645918,2,0,freedom of speech,representation for all,religious freedom with no state religion,free trade,equal opportunity,5,equal opportunity,,,"No preference given on the basis of family heritage, ethnicity, or wealth. Availability of public education without differentiation based on economic status, and place of residence.",1,4,5,3,2,6,5,5,2,2,3,2,5,4,1,,1,1,1,5,,1,11/18/2024 20:23,11/18/2024 20:28,5,2,1,Desktop,1,74,4,6,1,4,5,1,9,2,5,NJ,1,2,1,1,2,3,3,1,#NULL!,#NULL!,#NULL!,#NULL!,1
237,1.38284254,1,1,freedom,justices,equality,democratic government,effective governance,3,equality,,98,,5,4,2,3,1,5,4,5,4,2,3,4,5,4,1,,4,3,3,11,,2,11/21/2024 18:10,11/21/2024 18:28,18,2,1,Desktop,1,56,3,5,2,2,1,1,11,3,6,FL,3,5,1,1,2,3,4,2,0,0,0,0,2
246,1.57906568,1,0,Liberty,Life,Capitalism,Guns,Money,3,Capitalism,,The U.S. is definitely enforcing capitalism to an obsessive degree. I can think of no proper way to answer this question.,,5,3,2,1,4,5,5,7,1,2,1,2,6,4,1,,2,1,2,11,,3,11/21/2024 7:27,11/21/2024 7:33,6,2,1,Smartphone,1,27,1,2,6,4,5,2,10,2,6,MD,3,5,1,1,3,1,4,4,#NULL!,#NULL!,#NULL!,#NULL!,4
250,0.80201307,0,1,religious freedom,freedom of choice,freedom of speech,freedom to bear arms,pursuit of happiness,5,pursuit of happiness,The United States upholds the promise of the pursuit of happiness by respecting the citizens' ways and means to obtain personal and communal success and life satisfaction.,,,2,1,4,5,3,5,5,5,3,4,3,3,6,4,1,,3,2,2,11,,2,11/18/2024 18:48,11/18/2024 18:55,9,2,1,Smartphone,1,42,2,3,6,4,5,1,17,4,9,CA,4,9,1,1,2,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
257,1.85036930,0,0,Freedom of speech,Freedom of religion,Right to bare arms,Justice system is the best in the world.,Pride in our country,1,Freedom of speech,The media have been able to say whatever they wanted to say about the president elect before the election. People made their election choice from what they knew to be true not what the media wanted them to believe.,,,5,4,1,2,3,4,6,6,2,5,2,7,7,4,2,,5,4,3,1,,1,11/18/2024 20:16,11/18/2024 20:44,29,2,1,Smartphone,1,57,3,5,1,2,3,1,15,4,8,NJ,1,2,1,1,1,1,4,3,#NULL!,#NULL!,#NULL!,1,2
262,1.08282682,0,1,Justice,Freedom of religion,Equality,Freedom of speech,Freedom to pursue prosperity,2,Freedom of religion,There is no state or national religion. Everyone is free to choose how they worship God as they see fit.,,,1,2,3,5,4,2,5,5,3,4,3,5,5,4,2,,6,5,5,1,,9,11/18/2024 20:37,11/18/2024 20:45,8,2,1,Smartphone,2,44,2,3,1,3,1,1,9,2,5,KY,3,6,0,1,1,1,4,3,#NULL!,#NULL!,#NULL!,1,2
265,2.38464010,2,1,Freedom,Liberty,Pursuit of happiness,Rule of law,Prosperity,2,Liberty,,,Liberty is freedom from a tyrannical government. It is the freedom to live how you want and decide how you live,4,3,1,5,2,4,2,4,4,5,2,7,5,4,2,,5,4,3,2,,3,11/18/2024 19:56,11/18/2024 20:02,6,2,1,Smartphone,1,39,2,3,1,4,5,1,15,4,8,ME,1,1,1,1,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,1
268,0.23566889,0,0,Freedom,Liberty,Equality,Individual rights,Freedom of speech,3,Equality,We aren’t at all living up to this quality in which is promised there isn’t much equality going on at all,,,5,1,3,4,2,4,4,2,3,5,4,5,4,2,#NULL!,,4,3,3,12,,2,11/18/2024 19:39,11/19/2024 23:45,6,2,1,Smartphone,2,30,2,2,1,3,5,6,1,1,1,CA,4,9,1,0,2,3,4,3,#NULL!,1,#NULL!,#NULL!,1
269,2.11102567,2,1,freedom,religion,equality,speach,have guns,1,freedom,,,"You have rules, and you have to follow them but you can speak what is on your mind, you can practice your own religion, and you are just as equal as the person next to you",2,3,5,1,4,6,2,2,3,5,1,6,2,4,1,,2,1,4,2,,7,11/19/2024 7:31,11/19/2024 7:42,12,2,1,Desktop,2,75,4,7,1,2,3,5,10,2,6,WI,2,3,1,1,2,3,4,1,0,0,0,0,1
279,2.37047051,0,1,Equality,Informality,The future,Change,Progress,4,Change,We the people chose a president that will ensure a lot of change for us. He’s been president before and within those four years showed a lot of change,,,4,2,3,1,5,5,5,3,5,5,3,3,6,4,2,,7,5,5,11,,1,11/18/2024 16:04,11/18/2024 16:12,9,2,1,Smartphone,2,32,2,2,5,1,5,1,8,2,4,NV,4,8,1,1,2,3,4,6,#NULL!,2,1,1,2
287,2.45245876,2,1,Help Others,Republic,No Taxation Without Reprentation,Protect our allies,Respect,1,Help Others,,,"Try to create a nation where one can have and achieve goals.  Sometimes it requires the help of others by way of education, employment, or assistance.",1,2,5,4,3,6,7,6,3,4,2,2,6,4,2,,5,4,3,11,,1,11/18/2024 18:51,11/18/2024 18:55,5,2,1,Smartphone,1,41,2,3,1,4,1,1,13,3,7,CO,4,8,1,1,1,1,4,4,#NULL!,#NULL!,#NULL!,#NULL!,2
290,1.47102296,2,0,Unity,Freedom,Free speech,Home,Value,2,Freedom,,,"Freedom to live my life.
Freedom to have the things that I want
Freedom to be able to do what I want.",2,4,1,3,5,7,7,7,7,5,7,7,7,4,2,,7,5,1,12,,4,11/24/2024 18:45,11/24/2024 18:48,3,2,1,Smartphone,2,28,1,2,2,2,5,1,13,3,7,GA,3,5,0,0,2,3,4,4,#NULL!,#NULL!,#NULL!,#NULL!,4
